id;Word;Frequency;Reading;English;Heisig_numbers;Heisig_chapter;kana_tier;kind
1;の;41309.5;の;Case particle;[];0;1;vocab
2;に;23509.54;に;Case particle;[];0;1;vocab
3;は;22216.8;は;Case particle;[];0;1;vocab
4;て;20431.93;て;Conjunctive particle;[];0;;morpheme
5;を;20326.59;を;Case particle;[];0;1;vocab
6;が;20110.69;が;Case particle;[];0;1;vocab
7;だ;19235.55;だ;Auxiliary;[];0;1;vocab
8;た;17292.36;た;Auxiliary;[];0;;morpheme
9;する;16841.17;する;to do;[];0;1;vocab
10;と;15095.29;と;Case particle;[];0;1;vocab
11;ます;9604.49;ます;Auxiliary;[];0;;morpheme
12;で;9537.75;で;Auxiliary;[];0;1;vocab
13;ない;8189.0;ない;Auxiliary;[];0;1;vocab
14;いる;8140.22;いる;Auxiliary;[];0;1;vocab
15;も;7900.34;も;Adverbial/Focus particle;[];0;1;vocab
16;ある;6766.19;ある;Auxiliary;[];0;1;vocab
17;です;5780.62;です;Auxiliary;[];0;1;vocab
18;こと;5451.05;こと;Nominalizer;[];0;2;vocab
19;か;4744.78;か;Parallel marker;[];0;1;vocab
20;なる;4193.98;なる;to become;[];0;1;vocab
21;れる;4188.45;れる;Auxiliary;[];0;;morpheme
22;から;4055.86;から;Case particle;[];0;1;vocab
23;ん;2702.29;ん;Auxiliary;[];0;;morpheme
24;よう;2691.51;よう;Auxiliary;[];0;1;vocab
25;いう;2496.04;いう;to say;[];0;1;vocab
26;う;2463.71;う;Auxiliary;[];0;;morpheme
27;人;2415.25;ひと;person;[1023];27;;vocab
28;この;2255.67;この;determiner (this);[];0;1;vocab
29;という;2190.45;という;Compound particle;[];0;1;vocab
30;思う;2131.88;おもう;to think;[651];22;;vocab
31;その;2127.42;その;determiner (that);[];0;1;vocab
32;的;2057.33;てき;suffix (-al/-like);[73];4;;vocab
33;年;1950.65;とし;year;[1114];28;;vocab
34;日;1942.04;ひ;day/sun;[12];1;;vocab
35;私;1769.37;わたし;I/me (polite);[968];26;;vocab
36;もの;1757.94;もの;Formal noun;[];0;2;vocab
